author,categories,quote
A. J. McLean,"Life , Love , Music","Music is love, love is music, music is life, and I love my life. Thank you and good night."
A. E. Housman,"Find , Sense , Asylum","I find Cambridge an asylum, in every sense of the word."
A. J. McLean,"Changes , Color , Hair","The biggest misconception about me is the bad-boy image that everyone stuck me into due to my tattoos, drug days and the constant changes I make with my hair color."
A. E. Housman,"Good , Great , Perception","Great literature should do some good to the reader: must quicken his perception though dull, and sharpen his discrimination though blunt, and mellow the rawness of his personal opinions."
A. J. McLean,"Head , Patient , Be Patient",Keep your head up and be patient.
A. E. Housman,"Live , Build , Cheap",The house of delusions is cheap to build but drafty to live in.
A. J. McLean,"Happy , Be Happy , Want","Our fans want us to be happy and if that means being married or having a girlfriend, they are okay with that. Of course, in this industry it is a bit harder to have normal relationships, but it is possible."
A. E. Housman,"Innocence , American , Air","In every American there is an air of incorrigible innocence, which seems to conceal a diabolical cunning."
A. J. McLean,"Think , Live , Boy","We didn't realize there were that many boy bands until we started touring in Europe. I don't think we were ever affected by it since a lot of the groups in Europe didn't really sing live, but we did and would perform a cappella as well."
A. E. Housman,"Morning , Poetry , Experience","Experience has taught me, when I am shaving of a morning, to keep watch over my thoughts, because, if a line of poetry strays into my memory, my skin bristles so that the razor ceases to act."
A. J. McLean,"Day , God , Thinking",I pray to God I get inside a girl's head one day and see what in the WORLD they are thinking.
A. E. Housman,"Man , Think , Drink","Ale, man, ale's the stuff to drink for fellows whom it hurts to think."
A. J. McLean,"Good , Great , Feel Good",I look good. I feel good and not to sound conceited I sound great.
A. E. Housman,"Poetry , May , Meaning","Even when poetry has a meaning, as it usually has, it may be inadvisable to draw it out... Perfect understanding will sometimes almost extinguish pleasure."
A. E. Housman,"Happy , Lost , Land","That is the land of lost content, I see it shining plain, the happy highways where I went and cannot come again."
A. J. McLean,"Believe In Yourself , Feet",You can have whatever you want if you believe in yourself and keep your feet firmly planted in the ground.
A. E. Housman,"Man , Criticism , Average","The average man, if he meddles with criticism at all, is a conservative critic."
A. J. McLean,"People , Listen , Patient","Be very, very patient and very open-minded, and listen to what people have to say."
A. E. Housman,"Poetry , Memory , Skin","If a line of poetry strays into my memory, my skin bristles so that the razor ceases to act."
A. J. McLean,"Bed , Idea , Atlanta",Once I went to bed in Orlando and I woke up in Atlanta. I have no idea how that happened.
